,Date,Close/Last,Volume,Open,High,Low
0,2020-05-22,318.89,20450750,315.77,319.23,315.35
1,2020-05-21,316.85,25672210,318.66,320.89,315.87
2,2020-05-20,319.23,27876220,316.68,319.52,316.2
3,2020-05-19,313.14,25432390,315.03,318.52,313.01
4,2020-05-18,314.96,33843130,313.17,316.5,310.3241
5,2020-05-15,307.71,41587090,300.35,307.9,300.21
6,2020-05-14,309.54,39732270,304.51,309.79,301.53
7,2020-05-13,307.65,50155640,312.15,315.95,303.21
8,2020-05-12,311.41,40575260,317.83,319.688,310.91
9,2020-05-11,315.01,36486560,308.1,317.05,307.24
10,2020-05-08,310.13,33511990,305.64,310.35,304.29
11,2020-05-07,303.74,28803760,303.22,305.17,301.97
12,2020-05-06,300.63,35583440,300.46,303.24,298.87
13,2020-05-05,297.56,36937800,295.06,301.0,294.46
14,2020-05-04,293.16,33391990,289.17,293.69,286.3172
15,2020-05-01,289.07,60154180,286.25,299.0,285.85
16,2020-04-30,293.8,45765970,289.96,294.53,288.35
17,2020-04-29,287.73,34320200,284.73,289.67,283.89
18,2020-04-28,278.58,28001190,285.08,285.83,278.2
19,2020-04-27,283.17,29271890,281.8,284.54,279.95
20,2020-04-24,282.97,31627180,277.2,283.01,277.0
21,2020-04-23,275.03,31203580,275.87,281.75,274.87
22,2020-04-22,276.1,29264340,273.61,277.9,272.2
23,2020-04-21,268.37,45247890,276.28,277.25,265.43
24,2020-04-20,276.93,32503750,277.95,281.68,276.85
25,2020-04-17,282.8,53812480,284.69,286.945,276.86
26,2020-04-16,286.69,39281290,287.38,288.1975,282.3502
27,2020-04-15,284.43,32788640,282.4,286.33,280.63
28,2020-04-14,287.05,48748670,280.0,288.25,278.05
29,2020-04-13,273.25,32755730,268.31,273.7,265.83
30,2020-04-09,267.99,40529120,268.7,270.07,264.7
31,2020-04-08,266.07,42223820,262.74,267.37,261.23
32,2020-04-07,259.43,50721830,270.8,271.7,259.0
33,2020-04-06,262.47,50455070,250.9,263.11,249.38
34,2020-04-03,241.41,32470020,242.8,245.7,238.9741
35,2020-04-02,244.93,41483490,240.34,245.15,236.9
36,2020-04-01,240.91,44054640,246.5,248.72,239.13
37,2020-03-31,254.29,49250500,255.6,262.49,252.0
38,2020-03-30,254.81,41994110,250.74,255.52,249.4
39,2020-03-27,247.74,51054150,252.75,255.87,247.05
40,2020-03-26,258.44,63140170,246.52,258.68,246.36
41,2020-03-25,245.52,75900510,250.75,258.25,244.3
42,2020-03-24,246.88,71882770,236.36,247.69,234.3
43,2020-03-23,224.37,84188210,228.08,228.4997,212.61
44,2020-03-20,229.24,100423300,247.18,251.83,228.0
45,2020-03-19,244.78,67964260,247.385,252.84,242.61
46,2020-03-18,246.67,75058410,239.77,250.0,237.12
47,2020-03-17,252.86,81013970,247.51,257.61,238.4
48,2020-03-16,242.21,80605870,241.95,259.08,240.0
49,2020-03-13,277.97,92683030,264.89,279.92,252.95
50,2020-03-12,248.23,104618500,255.94,270.0,248.0
51,2020-03-11,275.43,64094970,277.39,281.22,271.86
